profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,downlink_retry_attempts,downlink_retry_delay_ms,upload_retry_attempts,upload_retry_delay_ms,retries_used,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-downlink-1m-drop-ab-6000ms,downlink,rep01-downlink-1m-drop-ab-6000ms,1048576,16,8000,0,500,0,500,,500ms,6000ms,6000,FAIL,browser_application_task_failed,false,,6931,false,2,1,1,true,7,3,true,true,true,6000,6000,104,7,127748,8400,5886,38,31,116,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-wait-boundary-20260624/rep01-downlink-1m-drop-ab-6000ms
rep01-downlink-1m-drop-ab-9000ms,downlink,rep01-downlink-1m-drop-ab-9000ms,1048576,16,8000,0,500,0,500,,500ms,9000ms,9000,FAIL,browser_application_task_failed,false,,6923,false,2,1,1,true,7,3,true,true,true,9000,9000,103,7,126295,8400,5128,39,31,115,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-wait-boundary-20260624/rep01-downlink-1m-drop-ab-9000ms
rep02-downlink-1m-drop-ab-6000ms,downlink,rep02-downlink-1m-drop-ab-6000ms,1048576,16,8000,0,500,0,500,,500ms,6000ms,6000,FAIL,browser_application_task_failed,false,,6927,false,2,1,1,true,7,3,true,true,true,6000,6000,103,7,124887,8400,5088,38,32,114,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-wait-boundary-20260624/rep02-downlink-1m-drop-ab-6000ms
rep02-downlink-1m-drop-ab-9000ms,downlink,rep02-downlink-1m-drop-ab-9000ms,1048576,16,8000,0,500,0,500,,500ms,9000ms,9000,FAIL,browser_application_task_failed,false,,6924,false,2,1,1,true,7,3,true,true,true,9000,9000,106,7,129207,8400,5845,36,32,114,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-wait-boundary-20260624/rep02-downlink-1m-drop-ab-9000ms
rep03-downlink-1m-drop-ab-6000ms,downlink,rep03-downlink-1m-drop-ab-6000ms,1048576,16,8000,0,500,0,500,,500ms,6000ms,6000,FAIL,browser_application_task_failed,false,,6926,false,2,1,1,true,6,3,true,true,true,6000,6000,102,6,123451,7200,4928,39,31,115,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-wait-boundary-20260624/rep03-downlink-1m-drop-ab-6000ms
rep03-downlink-1m-drop-ab-9000ms,downlink,rep03-downlink-1m-drop-ab-9000ms,1048576,16,8000,0,500,0,500,,500ms,9000ms,9000,FAIL,browser_application_task_failed,false,,6935,false,2,1,1,true,7,3,true,true,true,9000,9000,103,7,124885,8400,6370,39,31,115,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-wait-boundary-20260624/rep03-downlink-1m-drop-ab-9000ms
