profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,upload_retry_attempts,upload_retry_delay_ms,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-upload-1m-drop-ab-18000ms,upload,rep01-upload-1m-drop-ab-18000ms,1048576,16,8000,2,1000,500ms,18000ms,18000,PASS,nat_rebinding_multiple_quic_sessions,true,28196,,false,3,2,4,true,6,3,true,true,true,18000,18000,57,51,1611,34838,17446,69,1630,34,941,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry2-stress-boundary-20260624/rep01-upload-1m-drop-ab-18000ms
rep01-upload-1m-drop-ab-21000ms,upload,rep01-upload-1m-drop-ab-21000ms,1048576,16,8000,2,1000,500ms,21000ms,21000,FAIL,browser_application_task_failed,false,,20950,false,2,1,4,true,6,3,true,true,true,21000,21000,56,54,3011,36263,18560,65,99,33,0,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry2-stress-boundary-20260624/rep01-upload-1m-drop-ab-21000ms
rep02-upload-1m-drop-ab-18000ms,upload,rep02-upload-1m-drop-ab-18000ms,1048576,16,8000,2,1000,500ms,18000ms,18000,PASS,nat_rebinding_multiple_quic_sessions,true,28199,,false,3,2,4,true,6,3,true,true,true,18000,18000,67,51,1879,34864,17448,69,1619,29,996,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry2-stress-boundary-20260624/rep02-upload-1m-drop-ab-18000ms
rep02-upload-1m-drop-ab-21000ms,upload,rep02-upload-1m-drop-ab-21000ms,1048576,16,8000,2,1000,500ms,21000ms,21000,FAIL,browser_application_task_failed,false,,20955,false,2,1,4,true,6,3,true,true,true,21000,21000,62,54,3181,36322,18566,65,99,28,0,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry2-stress-boundary-20260624/rep02-upload-1m-drop-ab-21000ms
rep03-upload-1m-drop-ab-18000ms,upload,rep03-upload-1m-drop-ab-18000ms,1048576,16,8000,2,1000,500ms,18000ms,18000,PASS,nat_rebinding_multiple_quic_sessions,true,28197,,false,3,2,4,true,6,3,true,true,true,18000,18000,65,51,3270,34828,17443,68,1623,30,956,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry2-stress-boundary-20260624/rep03-upload-1m-drop-ab-18000ms
rep03-upload-1m-drop-ab-21000ms,upload,rep03-upload-1m-drop-ab-21000ms,1048576,16,8000,2,1000,500ms,21000ms,21000,FAIL,browser_application_task_failed,false,,20950,false,2,1,4,true,6,3,true,true,true,21000,21000,60,54,1671,36308,18561,66,101,29,0,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry2-stress-boundary-20260624/rep03-upload-1m-drop-ab-21000ms
