profile,trial_id,drop_window_ms,retry_attempts,total_bytes,range_bytes,status,classification,range_complete,range_completed_bytes,range_completed_chunks,range_retries_used,range_elapsed_ms,range_error_elapsed_ms,server_request_count,server_remote_addr_count,chrome_quic_sessions,qlog_path_challenge,qlog_path_response,dropped_server_packets_a,dropped_server_packets_b,artifact_dir,notes
range-resumable-download,chrome-h3-rebinding-range-rep1-drop6000-retry0-20260629,6000,0,1048576,131072,PASS,nat_rebinding_multiple_quic_sessions,true,1048576,8,0,12186,,9,2,2,7,4,58,6,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-range-rep1-drop6000-retry0-20260629,Range task completed without an application retry in this run. Chrome used multiple target QUIC sessions.
range-resumable-download,chrome-h3-rebinding-range-rep2-drop6000-retry0-20260629,6000,0,1048576,131072,FAIL,browser_h3_request_failed,,,,,,6921,2,1,1,7,3,61,7,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-range-rep2-drop6000-retry0-20260629,Range task did not complete at the DOM task level.
range-resumable-download,chrome-h3-rebinding-range-rep3-drop6000-retry0-20260629,6000,0,1048576,131072,FAIL,browser_h3_request_failed,,,,,,6923,2,1,1,7,3,62,7,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-range-rep3-drop6000-retry0-20260629,Range task did not complete at the DOM task level.
range-resumable-download,chrome-h3-rebinding-range-rep1-drop6000-retry2-20260629,6000,2,1048576,131072,PASS,nat_rebinding_multiple_quic_sessions,true,1048576,8,0,12314,,9,2,2,7,4,56,6,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-range-rep1-drop6000-retry2-20260629,Range task completed without an application retry in this run. Chrome used multiple target QUIC sessions.
range-resumable-download,chrome-h3-rebinding-range-rep2-drop6000-retry2-20260629,6000,2,1048576,131072,PASS,nat_rebinding_multiple_quic_sessions,true,1048576,8,1,15011,,10,2,2,7,3,61,7,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-range-rep2-drop6000-retry2-20260629,Range task completed after retrying a failed byte range. Chrome used multiple target QUIC sessions.
range-resumable-download,chrome-h3-rebinding-range-rep3-drop6000-retry2-20260629,6000,2,1048576,131072,PASS,nat_rebinding_multiple_quic_sessions,true,1048576,8,1,15030,,10,2,2,7,3,62,7,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-range-rep3-drop6000-retry2-20260629,Range task completed after retrying a failed byte range. Chrome used multiple target QUIC sessions.
