trigger_seconds,rep,status,classification,application_complete,application_success,downlink_bytes,client_path_change,eventual_client_path_change,target_h3_remote_addr_count,qlog_path_challenge,qlog_path_response,artifact_dir
4,1,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,12363,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger4s-iphone-usb-network-change-001
4,2,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,12363,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger4s-iphone-usb-network-change-002
4,3,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,16484,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger4s-iphone-usb-network-change-003
6,1,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,24726,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger6s-iphone-usb-network-change-001
6,2,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,20605,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger6s-iphone-usb-network-change-002
6,3,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,24726,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger6s-iphone-usb-network-change-003
7,1,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,24726,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger7s-iphone-usb-network-change-001
7,2,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,24726,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger7s-iphone-usb-network-change-002
7,3,PASS_NEGATIVE_CONTROL,application_task_incomplete_without_quic_path_validation,false,false,24726,client_active_path_changed,client_active_path_changed,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-downlink-boundary8000-32kb-trigger7s-iphone-usb-network-change-003
