profile,workload,run_id,heartbeat,configured_bytes,configured_chunks,duration_ms,rebind_after,status,classification,server_remote_addr_count,netlog_target_quic_session_count,netlog_target_path_validation_observed,qlog_path_validation_observed,proxy_switched,drop_a_server_after_switch,dropped_server_packets_a,dropped_server_bytes_a,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
downlink-1m-noheartbeat,downlink,downlink-1m-noheartbeat,noheartbeat,1048576,16,8000,500ms,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,true,true,true,true,39,55194,37,101,74,765,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-stress-20260624/downlink-1m-noheartbeat
downlink-1m-heartbeat,downlink,downlink-1m-heartbeat,heartbeat,1048576,16,8000,500ms,PASS,nat_rebinding_multiple_quic_sessions,2,2,true,true,true,true,12,16287,37,78,101,450,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-stress-20260624/downlink-1m-heartbeat
downlink-4m-noheartbeat,downlink,downlink-4m-noheartbeat,noheartbeat,4194304,32,12000,500ms,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,true,true,true,true,0,0,68,332,299,2766,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-stress-20260624/downlink-4m-noheartbeat
upload-1m,upload,upload-1m,n/a,1048576,16,8000,500ms,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,true,true,true,true,20,1930,65,848,30,344,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-stress-20260624/upload-1m
upload-4m,upload,upload-4m,n/a,4194304,32,12000,500ms,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,true,true,true,true,34,868,234,3340,85,1166,1,4194304,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-old-path-drop-stress-20260624/upload-4m
