profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,downlink_retry_attempts,downlink_retry_delay_ms,upload_retry_attempts,upload_retry_delay_ms,retries_used,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-downlink-1m-drop-ab-5000ms,downlink,rep01-downlink-1m-drop-ab-5000ms,1048576,16,8000,0,500,0,500,0,500ms,5000ms,5000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,12559,,false,2,1,1,true,7,4,true,true,true,5000,5000,102,6,126269,7200,3993,41,116,117,764,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-5000-5500-replication-20260625/rep01-downlink-1m-drop-ab-5000ms
rep01-downlink-1m-drop-ab-5500ms,downlink,rep01-downlink-1m-drop-ab-5500ms,1048576,16,8000,0,500,0,500,,500ms,5500ms,5500,FAIL,browser_application_task_failed,false,,6950,false,2,1,1,true,6,3,true,true,true,5500,5500,99,6,121944,7200,4649,38,30,114,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-5000-5500-replication-20260625/rep01-downlink-1m-drop-ab-5500ms
rep02-downlink-1m-drop-ab-5000ms,downlink,rep02-downlink-1m-drop-ab-5000ms,1048576,16,8000,0,500,0,500,0,500ms,5000ms,5000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,13026,,false,2,1,1,true,8,4,true,true,true,5000,5000,103,7,124885,8400,4982,38,130,168,756,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-5000-5500-replication-20260625/rep02-downlink-1m-drop-ab-5000ms
rep02-downlink-1m-drop-ab-5500ms,downlink,rep02-downlink-1m-drop-ab-5500ms,1048576,16,8000,0,500,0,500,0,500ms,5500ms,5500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,12626,,false,2,1,1,true,7,4,true,true,true,5500,5500,98,6,118358,7200,4026,39,125,115,757,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-5000-5500-replication-20260625/rep02-downlink-1m-drop-ab-5500ms
rep03-downlink-1m-drop-ab-5000ms,downlink,rep03-downlink-1m-drop-ab-5000ms,1048576,16,8000,0,500,0,500,0,500ms,5000ms,5000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,12126,,false,2,1,1,true,7,4,true,true,true,5000,5000,102,6,124847,7200,3797,41,115,117,763,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-5000-5500-replication-20260625/rep03-downlink-1m-drop-ab-5000ms
rep03-downlink-1m-drop-ab-5500ms,downlink,rep03-downlink-1m-drop-ab-5500ms,1048576,16,8000,0,500,0,500,0,500ms,5500ms,5500,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,14079,,false,2,1,1,true,2,1,true,true,true,5500,5500,67,1,94131,1200,2832,39,106,136,692,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-5000-5500-replication-20260625/rep03-downlink-1m-drop-ab-5500ms
