profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,rebind_after,expected_status,status,classification,dump_application_complete,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
downlink-1m-drop-b-only,downlink,downlink-1m-drop-b-only,1048576,16,8000,500ms,PASS,PASS,nat_rebinding_path_probe_without_validation,true,false,2,1,1,true,9,0,true,false,true,0,9,0,10800,39,131,796,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-return-path-drop-controls-20260624/downlink-1m-drop-b-only
upload-1m-drop-b-only,upload,upload-1m-drop-b-only,1048576,16,8000,500ms,PASS,PASS,nat_rebinding_path_probe_without_validation,true,false,2,1,1,true,9,0,true,false,true,0,9,0,10800,67,847,398,0,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-return-path-drop-controls-20260624/upload-1m-drop-b-only
downlink-1m-drop-a-and-b,downlink,downlink-1m-drop-a-and-b,1048576,16,8000,500ms,FAIL,FAIL,browser_application_task_failed,false,false,2,1,1,true,7,3,true,true,true,103,7,124886,8400,36,32,112,0,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-return-path-drop-controls-20260624/downlink-1m-drop-a-and-b
upload-1m-drop-a-and-b,upload,upload-1m-drop-a-and-b,1048576,16,8000,500ms,FAIL,FAIL,browser_application_task_failed,false,false,2,1,2,true,6,3,true,true,true,54,24,1533,14869,66,88,35,0,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-return-path-drop-controls-20260624/upload-1m-drop-a-and-b
