trial_id,set_id,workload_duration_ms,bytes,chunks,trigger_after_s,retry_attempts,status,classification,application_success,upload_complete,upload_bytes,upload_response_bytes,upload_retries_used,last_error_elapsed_ms,upload_error_elapsed_ms,upload_elapsed_ms,last_error,terminal_error,target_h3_remote_addr_count,target_h3_remote_addrs,request_count,request_paths,chrome_quic_sessions,path_challenge,path_response,artifact_dir,notes
controlled-public-chrome-upload-boundary8000-32kb-retry0-iphone-usb-network-change-pilot-001,short-pilot,8000,32768,8,2,0,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,false,false,28672,,,5259,5259,,TypeError: Failed to fetch,Error: TypeError: Failed to fetch,1,211.60.158.171:58691,5,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary8000-32kb-retry0-iphone-usb-network-change-pilot-001,short upload pilot failed without retry; server saw upload-sink with 0 bytes
controlled-public-chrome-upload-boundary8000-32kb-retry1-iphone-usb-network-change-pilot-001,short-pilot,8000,32768,8,2,1,PASS_NEGATIVE_CONTROL,application_task_succeeded_without_observed_quic_migration,true,true,32768,32768,0,,,7078,,,1,106.101.10.251:37942,6,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink;/,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary8000-32kb-retry1-iphone-usb-network-change-pilot-001,short retry1 pilot completed without using retry; timing variability evidence not retry-recovery evidence
controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry0-iphone-usb-network-change-pilot-001,long-replication,16000,65536,16,4,0,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,false,false,28672,,,5160,5160,,TypeError: Failed to fetch,Error: TypeError: Failed to fetch,1,211.60.158.171:60052,5,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry0-iphone-usb-network-change-pilot-001,matched long upload control failed without retry
controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry0-iphone-usb-network-change-002,long-replication,16000,65536,16,4,0,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,false,false,45056,,,9216,9217,,TypeError: Failed to fetch,Error: TypeError: Failed to fetch,1,211.60.158.171:50186,5,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry0-iphone-usb-network-change-002,matched long upload control failed without retry
controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry0-iphone-usb-network-change-003,long-replication,16000,65536,16,4,0,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,false,false,40960,,,8894,8895,,TypeError: Failed to fetch,Error: TypeError: Failed to fetch,1,211.60.158.171:57525,6,/browser-upload;/browser-slow;/slow-js;/browser-upload;/cgi-bin/../../../../../../../../../../bin/sh;/upload-sink,1,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry0-iphone-usb-network-change-003,matched long upload control failed without retry; one unsolicited HTTP/1.1 scan request reached the public origin and did not affect target H3 evidence
controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry1-iphone-usb-network-change-pilot-001,long-replication,16000,65536,16,4,1,PASS_NEGATIVE_CONTROL,tuple_changed_without_path_validation,true,true,65536,65536,1,7490,,23196,TypeError: Failed to fetch,,2,106.101.10.251:38227;211.60.158.171:52617,6,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink;/upload-sink,2,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry1-iphone-usb-network-change-pilot-001,matched long upload retry recovered after one failed fetch; replacement-session recovery not QUIC CM
controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry1-iphone-usb-network-change-002,long-replication,16000,65536,16,4,1,PASS_NEGATIVE_CONTROL,reconnect_or_multiple_sessions,true,true,65536,65536,1,7116,,22994,TypeError: Failed to fetch,,2,106.101.10.251:36155;211.60.158.171:50734,6,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink;/upload-sink,2,2,2,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry1-iphone-usb-network-change-002,matched long upload retry recovered; path validation appeared but Chrome had two target QUIC sessions so this is not single-session CM evidence
controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry1-iphone-usb-network-change-003,long-replication,16000,65536,16,4,1,PASS_NEGATIVE_CONTROL,tuple_changed_without_path_validation,true,true,65536,65536,1,7527,,23127,TypeError: Failed to fetch,,2,106.101.10.251:41236;211.60.158.171:54194,6,/browser-upload;/browser-slow;/slow-js;/browser-upload;/upload-sink;/upload-sink,2,0,0,repro/quic-go-min-repro/artifacts/controlled-public-chrome-upload-boundary16000-64kb-trigger4s-retry1-iphone-usb-network-change-003,matched long upload retry recovered after one failed fetch; replacement-session recovery not QUIC CM
