profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,upload_retry_attempts,upload_retry_delay_ms,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-upload-1m-drop-ab-6000ms,upload,rep01-upload-1m-drop-ab-6000ms,1048576,16,8000,1,1000,500ms,6000ms,6000,PASS,nat_rebinding_multiple_quic_sessions,true,15465,,false,3,2,2,true,7,3,true,true,true,6000,6000,61,7,3237,8400,5346,68,1014,21,348,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-long-outage-20260624/rep01-upload-1m-drop-ab-6000ms
rep01-upload-1m-drop-ab-9000ms,upload,rep01-upload-1m-drop-ab-9000ms,1048576,16,8000,1,1000,500ms,9000ms,9000,PASS,nat_rebinding_multiple_quic_sessions,true,19671,,false,3,2,3,true,6,3,true,true,true,9000,9000,72,23,3284,14843,8635,73,1094,46,452,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-long-outage-20260624/rep01-upload-1m-drop-ab-9000ms
rep02-upload-1m-drop-ab-6000ms,upload,rep02-upload-1m-drop-ab-6000ms,1048576,16,8000,1,1000,500ms,6000ms,6000,PASS,nat_rebinding_multiple_quic_sessions,true,15469,,false,3,2,2,true,6,3,true,true,true,6000,6000,58,6,1622,7200,4644,70,990,38,331,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-long-outage-20260624/rep02-upload-1m-drop-ab-6000ms
rep02-upload-1m-drop-ab-9000ms,upload,rep02-upload-1m-drop-ab-9000ms,1048576,16,8000,1,1000,500ms,9000ms,9000,PASS,nat_rebinding_multiple_quic_sessions,true,19674,,false,3,2,2,true,6,3,true,true,true,9000,9000,56,23,1547,14868,8417,71,1098,40,408,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-long-outage-20260624/rep02-upload-1m-drop-ab-9000ms
rep03-upload-1m-drop-ab-6000ms,upload,rep03-upload-1m-drop-ab-6000ms,1048576,16,8000,1,1000,500ms,6000ms,6000,PASS,nat_rebinding_multiple_quic_sessions,true,15469,,false,3,2,3,true,6,3,true,true,true,6000,6000,69,6,4657,7200,5314,73,988,45,371,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-long-outage-20260624/rep03-upload-1m-drop-ab-6000ms
rep03-upload-1m-drop-ab-9000ms,upload,rep03-upload-1m-drop-ab-9000ms,1048576,16,8000,1,1000,500ms,9000ms,9000,PASS,nat_rebinding_multiple_quic_sessions,true,19679,,false,3,2,3,true,6,3,true,true,true,9000,9000,69,23,1881,14833,8914,74,1096,50,474,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-long-outage-20260624/rep03-upload-1m-drop-ab-9000ms
