profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,upload_retry_attempts,upload_retry_delay_ms,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-upload-1m-drop-ab-4900ms,upload,rep01-upload-1m-drop-ab-4900ms,1048576,16,8000,1,1000,500ms,4900ms,4900,PASS,nat_rebinding_multiple_quic_sessions,true,15470,,false,3,2,2,true,6,3,true,true,true,4900,4900,61,6,1726,7200,4647,71,991,42,322,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-boundary-20260624/rep01-upload-1m-drop-ab-4900ms
rep01-upload-1m-drop-ab-5000ms,upload,rep01-upload-1m-drop-ab-5000ms,1048576,16,8000,1,1000,500ms,5000ms,5000,PASS,nat_rebinding_multiple_quic_sessions,true,15466,,false,3,2,2,true,6,3,true,true,true,5000,5000,59,6,3106,7200,4919,68,988,27,328,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-boundary-20260624/rep01-upload-1m-drop-ab-5000ms
rep02-upload-1m-drop-ab-4900ms,upload,rep02-upload-1m-drop-ab-4900ms,1048576,16,8000,1,1000,500ms,4900ms,4900,PASS,nat_rebinding_multiple_quic_sessions,true,15476,,false,3,2,2,true,6,3,true,true,true,4900,4900,56,6,2999,7200,4842,65,986,25,357,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-boundary-20260624/rep02-upload-1m-drop-ab-4900ms
rep02-upload-1m-drop-ab-5000ms,upload,rep02-upload-1m-drop-ab-5000ms,1048576,16,8000,1,1000,500ms,5000ms,5000,PASS,nat_rebinding_multiple_quic_sessions,true,15468,,false,3,2,2,true,6,3,true,true,true,5000,5000,49,6,1411,7200,4645,69,988,41,316,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-boundary-20260624/rep02-upload-1m-drop-ab-5000ms
rep03-upload-1m-drop-ab-4900ms,upload,rep03-upload-1m-drop-ab-4900ms,1048576,16,8000,1,1000,500ms,4900ms,4900,PASS,nat_rebinding_multiple_quic_sessions,true,15475,,false,3,2,2,true,6,3,true,true,true,4900,4900,60,6,3127,7200,4655,65,992,29,350,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-boundary-20260624/rep03-upload-1m-drop-ab-4900ms
rep03-upload-1m-drop-ab-5000ms,upload,rep03-upload-1m-drop-ab-5000ms,1048576,16,8000,1,1000,500ms,5000ms,5000,PASS,nat_rebinding_multiple_quic_sessions,true,15463,,false,3,2,2,true,6,3,true,true,true,5000,5000,57,6,1595,7200,4636,70,991,40,345,2,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-retry-boundary-20260624/rep03-upload-1m-drop-ab-5000ms
