trial_id,drop_window_ms,retry_attempts,segments,segment_bytes,segment_duration_ms,segment_interval_ms,status,classification,media_complete,media_completed_count,media_retries_used,media_bytes,media_elapsed_ms,server_request_count,chrome_quic_sessions,qlog_path_challenge,qlog_path_response,dropped_server_packets_a,dropped_server_packets_b,artifact_dir,notes
chrome-h3-rebinding-media-drop500-retry0-20260629,500,0,8,32768,100,250,PASS,nat_rebinding_multiple_quic_sessions,true,8,0,263584,2841,9,2,4,3,37,2,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-media-drop500-retry0-20260629,Segment workload completed without explicit app retry but used multiple Chrome QUIC sessions.
chrome-h3-rebinding-media-drop1500-retry0-20260629,1500,0,8,32768,100,250,PASS,nat_rebinding_multiple_quic_sessions,true,8,0,263584,4135,9,2,6,4,53,5,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-media-drop1500-retry0-20260629,Segment workload completed without explicit app retry but used multiple Chrome QUIC sessions.
chrome-h3-rebinding-media-drop3000-retry0-20260629,3000,0,8,32768,100,250,PASS,nat_rebinding_multiple_quic_sessions,true,8,0,263583,5692,9,2,6,4,57,5,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-media-drop3000-retry0-20260629,Segment workload completed without explicit app retry but used multiple Chrome QUIC sessions.
chrome-h3-rebinding-media-drop6000-retry0-20260629,6000,0,8,32768,100,250,PASS,nat_rebinding_multiple_quic_sessions,true,8,0,263583,8938,10,3,6,3,72,6,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-media-drop6000-retry0-20260629,Segment workload completed without explicit app retry; server saw duplicate segment-3 and Chrome used three target QUIC sessions.
