profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,downlink_retry_attempts,downlink_retry_delay_ms,upload_retry_attempts,upload_retry_delay_ms,retries_used,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-downlink-1m-drop-ab-6000ms,downlink,rep01-downlink-1m-drop-ab-6000ms,1048576,16,8000,1,500,0,500,0,500ms,6000ms,6000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,15954,,false,2,1,1,true,2,1,true,true,true,6000,6000,73,1,102777,1200,4173,39,107,124,762,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-retry-boundary-20260624/rep01-downlink-1m-drop-ab-6000ms
rep01-downlink-1m-drop-ab-9000ms,downlink,rep01-downlink-1m-drop-ab-9000ms,1048576,16,8000,1,500,0,500,0,500ms,9000ms,9000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,21713,,false,2,1,1,true,2,1,true,true,true,9000,9000,80,1,111449,1200,6641,37,111,129,779,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-retry-boundary-20260624/rep01-downlink-1m-drop-ab-9000ms
rep02-downlink-1m-drop-ab-6000ms,downlink,rep02-downlink-1m-drop-ab-6000ms,1048576,16,8000,1,500,0,500,1,500ms,6000ms,6000,PASS,nat_rebinding_multiple_quic_sessions,true,15487,,false,3,2,2,true,7,3,true,true,true,6000,6000,104,7,127736,8400,5102,39,168,115,790,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-retry-boundary-20260624/rep02-downlink-1m-drop-ab-6000ms
rep02-downlink-1m-drop-ab-9000ms,downlink,rep02-downlink-1m-drop-ab-9000ms,1048576,16,8000,1,500,0,500,1,500ms,9000ms,9000,PASS,nat_rebinding_multiple_quic_sessions,true,19693,,false,3,2,2,true,7,3,true,true,true,9000,9000,105,24,127168,16023,8929,37,306,102,926,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-retry-boundary-20260624/rep02-downlink-1m-drop-ab-9000ms
rep03-downlink-1m-drop-ab-6000ms,downlink,rep03-downlink-1m-drop-ab-6000ms,1048576,16,8000,1,500,0,500,1,500ms,6000ms,6000,PASS,nat_rebinding_multiple_quic_sessions,true,15491,,false,3,2,2,true,7,3,true,true,true,6000,6000,106,7,129209,8400,5182,37,172,114,790,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-retry-boundary-20260624/rep03-downlink-1m-drop-ab-6000ms
rep03-downlink-1m-drop-ab-9000ms,downlink,rep03-downlink-1m-drop-ab-9000ms,1048576,16,8000,1,500,0,500,0,500ms,9000ms,9000,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,19104,,false,2,1,1,true,2,1,true,true,true,9000,9000,79,1,110008,1200,5524,37,111,106,790,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-downlink-retry-boundary-20260624/rep03-downlink-1m-drop-ab-9000ms
