profile,trial_id,drop_window_ms,retry_attempts,total_bytes,range_bytes,status,classification,range_complete,range_completed_bytes,range_completed_chunks,range_retries_used,range_elapsed_ms,range_error_elapsed_ms,server_request_count,server_remote_addr_count,chrome_quic_sessions,qlog_path_challenge,qlog_path_response,dropped_server_packets_a,dropped_server_packets_b,artifact_dir,notes
range-noniphone-local-refresh,chrome-desktop-noniphone-range-drop3000-retry0-20260630,3000,0,1048576,131072,PASS,nat_rebinding_possible_session_continuity,true,1048576,8,0,1095,,9,2,1,1,1,0,0,repro/quic-go-min-repro/artifacts/chrome-desktop-noniphone-range-drop3000-retry0-20260630,Range task completed without an application retry in this run.
range-noniphone-local-refresh,chrome-desktop-noniphone-range-slow-drop3000-retry0-20260630,3000,0,1048576,131072,PASS,nat_rebinding_possible_session_continuity,true,1048576,8,0,6122,,9,2,1,1,1,0,0,repro/quic-go-min-repro/artifacts/chrome-desktop-noniphone-range-slow-drop3000-retry0-20260630,Range task completed without an application retry in this run.
