profile,trial_id,drop_window_ms,retry_attempts,segments,segment_bytes,segment_duration_ms,segment_interval_ms,status,classification,media_complete,media_completed_count,media_retries_used,media_bytes,media_elapsed_ms,media_error_elapsed_ms,server_request_count,duplicate_segment_requests,server_remote_addr_count,chrome_quic_sessions,qlog_path_challenge,qlog_path_response,dropped_server_packets_a,dropped_server_packets_b,artifact_dir,notes
music-like-buffered-segments,chrome-h3-rebinding-musiclike-rep1-drop6000-retry0-20260629,6000,0,8,8192,50,1000,FAIL,browser_h3_request_failed,,1,0,8371,,5016,2,0,1,2,0,0,13,18,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-musiclike-rep1-drop6000-retry0-20260629,Segment workload did not complete at the DOM task level.
music-like-buffered-segments,chrome-h3-rebinding-musiclike-rep2-drop6000-retry0-20260629,6000,0,8,8192,50,1000,FAIL,browser_h3_request_failed,,1,0,8371,,5017,2,0,1,2,0,0,14,18,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-musiclike-rep2-drop6000-retry0-20260629,Segment workload did not complete at the DOM task level.
music-like-buffered-segments,chrome-h3-rebinding-musiclike-rep3-drop6000-retry0-20260629,6000,0,8,8192,50,1000,FAIL,browser_h3_request_failed,,1,0,8371,,5014,2,0,1,2,0,0,14,18,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-musiclike-rep3-drop6000-retry0-20260629,Segment workload did not complete at the DOM task level.
music-like-buffered-segments,chrome-h3-rebinding-musiclike-rep1-drop6000-retry1-hold24-20260629,6000,1,8,8192,50,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,1,66967,14093,,9,0,2,3,0,0,14,28,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-musiclike-rep1-drop6000-retry1-hold24-20260629,"Segment workload completed, but Chrome used multiple target QUIC sessions."
music-like-buffered-segments,chrome-h3-rebinding-musiclike-rep2-drop6000-retry1-hold24-20260629,6000,1,8,8192,50,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,1,66968,14073,,9,0,2,3,0,0,11,28,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-musiclike-rep2-drop6000-retry1-hold24-20260629,"Segment workload completed, but Chrome used multiple target QUIC sessions."
music-like-buffered-segments,chrome-h3-rebinding-musiclike-rep3-drop6000-retry1-hold24-20260629,6000,1,8,8192,50,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,1,66967,14076,,9,0,2,3,0,0,11,28,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-musiclike-rep3-drop6000-retry1-hold24-20260629,"Segment workload completed, but Chrome used multiple target QUIC sessions."
