profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,downlink_retry_attempts,downlink_retry_delay_ms,upload_retry_attempts,upload_retry_delay_ms,retries_used,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-upload-1m-drop-ab-4750ms,upload,rep01-upload-1m-drop-ab-4750ms,1048576,16,8000,0,500,0,500,0,500ms,4750ms,4750,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10466,,false,2,1,1,true,7,4,true,true,true,4750,4750,58,6,3050,7200,3859,68,853,35,132,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-4750-replication-20260625/rep01-upload-1m-drop-ab-4750ms
rep02-upload-1m-drop-ab-4750ms,upload,rep02-upload-1m-drop-ab-4750ms,1048576,16,8000,0,500,0,500,0,500ms,4750ms,4750,PASS,nat_rebinding_path_validation_without_observed_tuple_change,true,10493,,false,2,1,2,true,7,4,true,true,true,4750,4750,50,6,2729,7200,4690,72,854,45,107,1,1048576,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-4750-replication-20260625/rep02-upload-1m-drop-ab-4750ms
rep03-upload-1m-drop-ab-4750ms,upload,rep03-upload-1m-drop-ab-4750ms,1048576,16,8000,0,500,0,500,,500ms,4750ms,4750,FAIL,browser_application_task_failed,false,,6920,false,2,1,2,true,6,3,true,true,true,4750,4750,54,6,2963,7200,4667,65,89,30,14,1,0,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-upload-4750-replication-20260625/rep03-upload-1m-drop-ab-4750ms
